,이름,영문이름,종류,나라,생산지,제조사,알코올도수,포도품종,가격,평점,주소
0,푸나무 소비뇽블랑,POUNAMU SAUVIGNON BLANC,White,뉴질랜드,말보로 (Marlborough),리틀뷰티 (Little Beauty),13%,소비뇽블랑 (Sauvignon Blanc) 100%,"32,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1521
1,시모네 페브르 크레망 드 부르고뉴 브뤼,SIMONNET FEBVRE CREMANT DE BOURGOGNE BRUT,Sparkling,프랑스,부르고뉴,시모네 페브르,12.5%,"샤르도네(Chardonnay) 60%, 피노 누아(Pinot Noir) 40%","32,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1309
2,아발론 카베르네소비뇽,AVALON CALIFORNIA,Red,미국,캘리포니아,아발론 와이너리,13.8%,"까베르네 소비뇽 (Cabernet Sauvignon) 76%, 시라 (Syrah) 13%,진판델 (Zinfandel) 7%, 메를로 (Merlot) 4%","24,900원",3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=617
3,더 프리즈너,The Prisoner,Red,미국,나파 밸리,,,"진판델 (Zinfandel) 44%, 까베르네 소비뇽 (Cabernet Sauvignon) 20%, 쁘띠 시라 (Petite Syrah) 16%, 샤르보노 (Charbono) 2%","120,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=1929
4,이자디 엘 레갈로,IZADI EL REGALO,Red,스페인,리오하,보데가스 이자디 (Bodegas Izadi),14.1%,"템프라니요 (Tempranillo) 90%, 가르나차 (Garnacha), 그라시아노 (Graciano), 마주엘로 (Mazuelo) 10%","77,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1357
5,파이퍼 하이직 뀌베 브뤼,PIPER HEIDSIECK CUVEE BRUT,Champagne,프랑스,샴페인,파이퍼 하이직,12%,"피노 누아 (Pinot Noir), 피노 므니에 (Pinot Meunier)","75,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1145
6,빌라 안티노리 키안티 클라시코 리제르바,VILLA ANTINORI CHIANTI CLASSICO RISERVA,Red,이탈리아,"토스카나, 키안티 클라시코",안티노리,14%,"산지오베제 90%, 카베르네 소비뇽 10%",,4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1240
7,톨퍼들 빈야드 샤르도네,TOLPUDDLE VINEYARD CHARDONNAY,White,호주,"호주, 타스매니아",SHAW AND SMITH,12.5%,샤르도네(CHARDONNAY) 100%,"100,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2752
8,프루노토 모스카토 다스티,PRUNOTTO MOSCATO D'ASTI,Sweet,이탈리아,"피에몬테, 아스티","프루노토, 안티노리",5%,까넬리 모스카토 비앙코(Canelli Moscato Bianco) 100%,"25,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=985
9,게르겐티 일 베로 시칠리아노,GERGENTI IL VERO SICILIANO,Red,이탈리아,시칠리아,쉥크 이탈리아,15%,"네로다볼라, 네넬로 마스칼레제, 프라파토",,4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1798
10,페폴리 키안티 클라시코,PEPPOLI CHIANTI CLASSICO,Red,이탈리아,"토스카나, 키안티 클라시코",안티노리,13%,"산지오베제(Sangiovese) 90%, 메를로(Merlot), 시라(Syrah) 10%","48,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=498
11,롱 클라우드 리저브 말보로 소비뇽 블랑,LONG CLOUD RESERVE MARLBOROUGH SAUVIGNON BLANC,White,뉴질랜드,말보로 (Marlborough),롱 클라우드 ( Long Cloud ),12%,소비뇽블랑 (Sauvignon Blanc) 100%,"24,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1599
12,산타 크리스티나 브뤼,SANTA CRISTINA BRUT,Sparkling,이탈리아,롬바르디아 & 트렌티노,산타 크리스티나 / 안티노리 (Santa Cristina / Antinori),12.5%,"샤르도네 (Chardonnay), 피노 블랑 (Pinot Blanc), 피노 누아 (Pinot Noir","33,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1354
13,루이 라뚜르 피노누아,LOUIS LATOUR PINOT NOIR,Red,프랑스,부르고뉴,루이 라뚜르,13%,피노 누아 (Pinot Noir) 100%,"48,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=493
14,마니피코 푸오코 로쏘 리제르바,MAGNIFICO FUOCO ROSSO RISERVA,Red,이탈리아,"풀리아, 만두리아",까사 비니꼴라 보테 카를로,14.5%,프리미티보,,3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1816
15,카사 마르텔레티 모스카토 다스티,CASA MARTELLETTI MOSCATO D'ASTI,Sweet,이탈리아,"이태리, 피에몬테, 아스티",,,모스카토(Moscato),"15,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=1601
16,펠리노 모스카토,PERLINO MOSCATO,Sparkling,이탈리아,피에몬테 (Piemonte),펠리노 (Perlino S.p.A),6.5%,모스카토 (Muscato) 100%,"12,900원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1522
17,티렐 헌터 세미용,TYRRELL HUNTER SEMILLON,White,호주,"뉴사우스 웨일즈, 헌터밸리 (Hunter Valley)",티렐스 와인 (Tyrrell’s Wines),11.5%,세미용 (Semillon) 100%,"60,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1587
18,빌라 엠 썸,VILLA M SOME,Sweet,이탈리아,이탈리아,지아니 갈리아르도 (Gianni Galiardo),3%,브라케토 (Brachetto) 100%,"18,000원",3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1676
19,아발론 나파밸리,AVALON NAPA VALLEY,Red,미국,"캘리포니아, 노스 코스트, 나파 밸리",아발론 와이너리,13.9%,"까베르네 소비뇽 (Cabernet Sauvignon) 80%, 메를로 (Merlot) 16%까베르네 프랑 (Cabernet Franc) 4%","42,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=970
20,글로리오소 리오하 크리안자,GLORIOSO RIOJA CRIANZA,Red,스페인,리오하,보데가스 팔라치오,13.5%,템프라니요(Tempranillo) 100%,"25,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1183
21,샤삐옹 뀌베 폴,CHAPILLON CUVEE PAUL,Red,스페인,"아라곤, 카탈라유드",샤삐옹,-,가르나차 100%,,3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1721
